Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
/dev/loop11     269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop20      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop24     856M  856M     0 100% /snap/intellij-idea-community/515
/dev/loop31     181M  181M     0 100% /snap/postman/275
/dev/loop28      13M   13M     0 100% /snap/snap-store/959
/dev/loop16     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop15     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop23      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop26     181M  181M     0 100% /snap/postman/277
/dev/loop25     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop22     151M  151M     0 100% /snap/figma-linux/197
/dev/loop5       56M   56M     0 100% /snap/core18/2823
/dev/loop4       56M   56M     0 100% /snap/core18/2829
/dev/loop14     148M  148M     0 100% /snap/figma-linux/189
/dev/loop7       64M   64M     0 100% /snap/core20/2379
/dev/loop6       68M   68M     0 100% /snap/cups/1058
/dev/loop30      13M   13M     0 100% /snap/snap-store/1113
/dev/loop21      67M   67M     0 100% /snap/cups/1052
/dev/loop12     173M  173M     0 100% /snap/brave/438
/dev/loop9       36M   36M     0 100% /snap/dotnet-runtime-80/18
/dev/loop10     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop18     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop32      39M   39M     0 100% /snap/snapd/21759
/dev/loop34     322M  322M     0 100% /snap/vlc/3721
/dev/loop35      39M   39M     0 100% /snap/snapd/21465
/dev/loop33     322M  322M     0 100% /snap/vlc/3777
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   68K  366M   1% /run/user/1000
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  180G   42G  82% /
tmpfs           1.8G   26M  1.8G   2% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop1      176M  176M     0 100% /snap/brave/440
/dev/loop2      219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop3       75M   75M     0 100% /snap/core22/1586
/dev/loop27      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop17     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop13      64M   64M     0 100% /snap/core20/2318
/dev/loop19     276M  276M     0 100% /snap/dotnet-sdk/248
/dev/loop29     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop8       75M   75M     0 100% /snap/core22/1612
/dev/loop11     269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop20      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop24     856M  856M     0 100% /snap/intellij-idea-community/515
/dev/loop31     181M  181M     0 100% /snap/postman/275
/dev/loop28      13M   13M     0 100% /snap/snap-store/959
/dev/loop16     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop15     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop23      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop26     181M  181M     0 100% /snap/postman/277
/dev/loop25     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop22     151M  151M     0 100% /snap/figma-linux/197
/dev/loop5       56M   56M     0 100% /snap/core18/2823
/dev/loop4       56M   56M     0 100% /snap/core18/2829
/dev/loop14     148M  148M     0 100% /snap/figma-linux/189
/dev/loop7       64M   64M     0 100% /snap/core20/2379
/dev/loop6       68M   68M     0 100% /snap/cups/1058
/dev/loop30      13M   13M     0 100% /snap/snap-store/1113
/dev/loop21      67M   67M     0 100% /snap/cups/1052
/dev/loop12     173M  173M     0 100% /snap/brave/438
/dev/loop9       36M   36M     0 100% /snap/dotnet-runtime-80/18
/dev/loop10     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop18     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop32      39M   39M     0 100% /snap/snapd/21759
/dev/loop34     322M  322M     0 100% /snap/vlc/3721
/dev/loop35      39M   39M     0 100% /snap/snapd/21465
/dev/loop33     322M  322M     0 100% /snap/vlc/3777
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   72K  366M   1% /run/user/1000
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  180G   42G  82% /
tmpfs           1.8G   57M  1.8G   4% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop1      176M  176M     0 100% /snap/brave/440
/dev/loop2      219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop3       75M   75M     0 100% /snap/core22/1586
/dev/loop27      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop17     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop13      64M   64M     0 100% /snap/core20/2318
/dev/loop19     276M  276M     0 100% /snap/dotnet-sdk/248
/dev/loop29     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop8       75M   75M     0 100% /snap/core22/1612
/dev/loop11     269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop20      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop24     856M  856M     0 100% /snap/intellij-idea-community/515
/dev/loop31     181M  181M     0 100% /snap/postman/275
/dev/loop28      13M   13M     0 100% /snap/snap-store/959
/dev/loop16     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop15     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop23      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop26     181M  181M     0 100% /snap/postman/277
/dev/loop25     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop22     151M  151M     0 100% /snap/figma-linux/197
/dev/loop5       56M   56M     0 100% /snap/core18/2823
/dev/loop4       56M   56M     0 100% /snap/core18/2829
/dev/loop14     148M  148M     0 100% /snap/figma-linux/189
/dev/loop7       64M   64M     0 100% /snap/core20/2379
/dev/loop6       68M   68M     0 100% /snap/cups/1058
/dev/loop30      13M   13M     0 100% /snap/snap-store/1113
/dev/loop21      67M   67M     0 100% /snap/cups/1052
/dev/loop12     173M  173M     0 100% /snap/brave/438
/dev/loop9       36M   36M     0 100% /snap/dotnet-runtime-80/18
/dev/loop10     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop18     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop32      39M   39M     0 100% /snap/snapd/21759
/dev/loop34     322M  322M     0 100% /snap/vlc/3721
/dev/loop35      39M   39M     0 100% /snap/snapd/21465
/dev/loop33     322M  322M     0 100% /snap/vlc/3777
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   72K  366M   1% /run/user/1000
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  180G   42G  82% /
tmpfs           1.8G   57M  1.8G   4% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop1      176M  176M     0 100% /snap/brave/440
/dev/loop2      219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop3       75M   75M     0 100% /snap/core22/1586
/dev/loop27      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop17     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop13      64M   64M     0 100% /snap/core20/2318
/dev/loop19     276M  276M     0 100% /snap/dotnet-sdk/248
/dev/loop29     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop8       75M   75M     0 100% /snap/core22/1612
/dev/loop11     269M  269M     0 100% /snap/dotnet-sdk/250
